query,extension,sink_file,sink_line
"SQL injection","bvbmedia_multishop","/bvbmedia_multishop/scripts/admin_pages/includes/admin_edit_product.php","3077"
"SQL injection","bvbmedia_multishop","/bvbmedia_multishop/scripts/admin_pages/includes/admin_stats_invoices/turn_over_per_month.php","542"
"SQL injection","bvbmedia_multishop","/bvbmedia_multishop/scripts/admin_pages/includes/admin_stats_invoices/turn_over_per_month.php","637"
"SQL injection","bvbmedia_multishop","/bvbmedia_multishop/scripts/admin_pages/includes/zzzz_admin_edit_product.php","1815"
"SQL injection","bvbmedia_multishop","/bvbmedia_multishop/scripts/admin_pages/includes/zzzz_admin_edit_product.php","1875"
"SQL injection","bvbmedia_multishop","/bvbmedia_multishop/scripts/admin_pages/includes/zzzz_admin_edit_product.php","2252"
"SQL injection","bvbmedia_multishop","/bvbmedia_multishop/scripts/admin_pages/includes/zzzz_admin_edit_product.php","2280"
"SQL injection","bvbmedia_multishop","/bvbmedia_multishop/scripts/admin_pages/includes/zzzz_admin_edit_product.php","2374"
"SQL injection","bvbmedia_multishop","/bvbmedia_multishop/scripts/admin_pages/includes/zzzz_admin_edit_product.php","2392"
"SQL injection","bvbmedia_multishop","/bvbmedia_multishop/scripts/admin_pages/includes/zzzz_admin_edit_product.php","2649"
"SQL injection","bvbmedia_multishop","/bvbmedia_multishop/scripts/admin_pages/includes/zzzz_admin_edit_product.php","2831"
"SQL injection","bvbmedia_multishop","/bvbmedia_multishop/scripts/ajax_pages/admin_shipping_costs_ajax.php","12"
"SQL injection","bvbmedia_multishop","/bvbmedia_multishop/scripts/ajax_pages/admin_shipping_costs_ajax.php","35"
